"X8.Number.of.samples"	"X8.KL.divergence"
"1"	20	0.521136551524967
"2"	40	0.271823806836032
"3"	60	0.175860936319103
"4"	80	0.133703644172409
"5"	100	0.10143130473903
"6"	120	0.0861088399277661
"7"	140	0.0724432102398691
"8"	160	0.0608594782771005
"9"	180	0.0556707964866133
"10"	200	0.0503163428452479
"11"	220	0.0417644210924653
"12"	240	0.0409945630244413
"13"	260	0.0358973224273963
"14"	280	0.035269726931685
"15"	300	0.0319742206960341
"16"	320	0.0325026344906988
"17"	340	0.028733410122055
"18"	360	0.0266776871357684
"19"	380	0.0252577358033074
"20"	400	0.024082144387523
"21"	420	0.0226750130491955
"22"	440	0.0214952334661903
"23"	460	0.0212928790353784
"24"	480	0.0199270125375072
"25"	500	0.0202152026538009
"26"	520	0.0185094324323978
"27"	540	0.0172738571284145
"28"	560	0.0181738190776138
"29"	580	0.0158428555535891
"30"	600	0.0161894830116475
"31"	620	0.0159602591310493
"32"	640	0.0147376786868163
"33"	660	0.0148118451876454
"34"	680	0.0141939284737354
"35"	700	0.0129994652011969
"36"	720	0.013491687263391
"37"	740	0.013131154113181
"38"	760	0.0130599979052165
"39"	780	0.0126815556034134
"40"	800	0.0117430287576257
"41"	820	0.0112945634150689
"42"	840	0.0114082847448381
"43"	860	0.0108085498497359
"44"	880	0.0107442103088693
"45"	900	0.0105170641069421
"46"	920	0.0101941656952516
"47"	940	0.00993106161799832
"48"	960	0.00954623436650586
"49"	980	0.00961172209000278
"50"	1000	0.00994163494744448
"51"	1020	0.00984366749321419
"52"	1040	0.00920656080784116
"53"	1060	0.00913521540359925
"54"	1080	0.00839452447703609
"55"	1100	0.00881472187268721
"56"	1120	0.00866828127068064
"57"	1140	0.00841030526732999
"58"	1160	0.00847052132386357
"59"	1180	0.00862039688580144
"60"	1200	0.00810319202029456
"61"	1220	0.00784940954232458
"62"	1240	0.00783860246992798
"63"	1260	0.0073433157293182
"64"	1280	0.00757537627868087
"65"	1300	0.00740845497890481
"66"	1320	0.00672686550323623
"67"	1340	0.00706917842713535
"68"	1360	0.00689216046543884
"69"	1380	0.00692616681698245
"70"	1400	0.00713404973185406
"71"	1420	0.00699904551857502
"72"	1440	0.00668813330811533
"73"	1460	0.00660810763491148
"74"	1480	0.00631678931927171
"75"	1500	0.00610788478362185
"76"	1520	0.00607812330585393
"77"	1540	0.00644202628060163
"78"	1560	0.0057515273723675
"79"	1580	0.00589434180445424
"80"	1600	0.00599285710965873
"81"	1620	0.00593947282853429
"82"	1640	0.00571513101841583
"83"	1660	0.00595315902227138
"84"	1680	0.00563884263731085
"85"	1700	0.00555624549423984
"86"	1720	0.00562841737170603
"87"	1740	0.00581235260797613
"88"	1760	0.00526691610261082
"89"	1780	0.00516393668841645
"90"	1800	0.00553123200414835
"91"	1820	0.00519264422089697
"92"	1840	0.00521160724079843
"93"	1860	0.00496573431170986
"94"	1880	0.00516663647046002
"95"	1900	0.00515105187502418
"96"	1920	0.00522904946341832
"97"	1940	0.00524413288059682
"98"	1960	0.00458793586595266
"99"	1980	0.00506132770293745
"100"	2000	0.00441876173080885
"101"	2020	0.0045629207584987
"102"	2040	0.00484043807928227
"103"	2060	0.00446325275245956
"104"	2080	0.00477960830378669
"105"	2100	0.00441315945037439
"106"	2120	0.00423836522371901
"107"	2140	0.00447778511425921
"108"	2160	0.00443243267622635
"109"	2180	0.00407639728843387
"110"	2200	0.00480162004864014
"111"	2220	0.00421792087321151
"112"	2240	0.00412767723576404
"113"	2260	0.00450621449399844
"114"	2280	0.00418941445325566
"115"	2300	0.00396202636180228
"116"	2320	0.00418358208057577
"117"	2340	0.00415753551802756
"118"	2360	0.00378824205006526
"119"	2380	0.0039449796013144
"120"	2400	0.00397457197568456
"121"	2420	0.00378626172690599
"122"	2440	0.00407270454351828
"123"	2460	0.00415587867263041
"124"	2480	0.00383245414208452
"125"	2500	0.00361735834654715
"126"	2520	0.00366534260058667
"127"	2540	0.00375558971644657
"128"	2560	0.00365355924988973
"129"	2580	0.00389710837964498
"130"	2600	0.00393974935076616
"131"	2620	0.00359066637199827
"132"	2640	0.00390481971439599
"133"	2660	0.00351292236683856
"134"	2680	0.00347760544275382
"135"	2700	0.00357233189045633
"136"	2720	0.00332753076497136
"137"	2740	0.00317745116486851
"138"	2760	0.00357952137658139
"139"	2780	0.00352640743513906
"140"	2800	0.00319520715008778
"141"	2820	0.0033097291144461
"142"	2840	0.00327748142007319
"143"	2860	0.00342687837048899
"144"	2880	0.00322556105757052
"145"	2900	0.003177418486218
"146"	2920	0.00350863925331259
"147"	2940	0.00299712105787462
"148"	2960	0.00313805972379485
"149"	2980	0.00309827809158074
"150"	3000	0.00332031498249766
"151"	3020	0.00305443012270564
"152"	3040	0.00306591705508082
"153"	3060	0.00307837027004705
"154"	3080	0.00319264592520295
"155"	3100	0.00317811510134379
"156"	3120	0.00312993164282116
"157"	3140	0.00292541631633163
"158"	3160	0.00313027423674662
"159"	3180	0.00277980711558928
"160"	3200	0.00308194242762993
"161"	3220	0.00296388867089815
"162"	3240	0.0029823844539158
"163"	3260	0.00281255529720466
"164"	3280	0.00301132257486548
"165"	3300	0.00296857272348079
"166"	3320	0.00274918381417996
"167"	3340	0.0027931129691369
"168"	3360	0.00261684610788834
"169"	3380	0.00274440780955481
"170"	3400	0.00294441612234695
"171"	3420	0.00268575009292754
"172"	3440	0.00268701643358209
"173"	3460	0.00273403269619026
"174"	3480	0.00288147432807611
"175"	3500	0.00267400161498875
"176"	3520	0.00271960663637584
"177"	3540	0.00259306908816266
"178"	3560	0.00270218365534741
"179"	3580	0.00267519918364833
"180"	3600	0.00268440228350118
"181"	3620	0.00261170438656511
"182"	3640	0.0026487818679681
"183"	3660	0.00274902538734116
"184"	3680	0.00259582507124043
"185"	3700	0.00261486329228398
"186"	3720	0.00260357529096438
"187"	3740	0.00248317355619294
"188"	3760	0.00261495907021414
"189"	3780	0.00237156967382255
"190"	3800	0.00260792506653111
"191"	3820	0.00248512384514695
"192"	3840	0.00254571094673177
"193"	3860	0.0024774894536419
"194"	3880	0.00260544246893816
"195"	3900	0.00250474382284405
"196"	3920	0.0023950571455994
"197"	3940	0.00249238931792741
"198"	3960	0.00228738730968996
"199"	3980	0.00237139335666502
"200"	4000	0.00235273329899845
"201"	4020	0.0023681297749629
"202"	4040	0.00236354499725913
"203"	4060	0.00229779321979485
"204"	4080	0.00235539113121773
"205"	4100	0.00224193973413037
"206"	4120	0.00224273683154657
"207"	4140	0.00232213818753625
"208"	4160	0.00207434997695655
"209"	4180	0.00218742286754231
"210"	4200	0.002108916076307
"211"	4220	0.00243819248798819
"212"	4240	0.00223566270526554
"213"	4260	0.00232532734378013
"214"	4280	0.00224973247408881
"215"	4300	0.00221891337675496
"216"	4320	0.00225300318601859
"217"	4340	0.00230902335802032
"218"	4360	0.00226037331773308
"219"	4380	0.00208840844156491
"220"	4400	0.0020896840698758
"221"	4420	0.00215600150691147
"222"	4440	0.00214804122934925
"223"	4460	0.00211579944118425
"224"	4480	0.00197056002402856
"225"	4500	0.00203049008168555
"226"	4520	0.00209156983768197
"227"	4540	0.00211661472056916
"228"	4560	0.00212996096298005
"229"	4580	0.00207381023625966
"230"	4600	0.0020569837742918
"231"	4620	0.00203427082310769
"232"	4640	0.0020069525648173
"233"	4660	0.00197174168504249
"234"	4680	0.00203422647159457
"235"	4700	0.00198900553274929
"236"	4720	0.00204177403530736
"237"	4740	0.00215646653697053
"238"	4760	0.00195308301558127
"239"	4780	0.00190909673321963
"240"	4800	0.00198060271432086
"241"	4820	0.00197987938457502
"242"	4840	0.00198399528183136
"243"	4860	0.00195643649351184
"244"	4880	0.00190787476437688
"245"	4900	0.00212855550021227
"246"	4920	0.00192887895388863
"247"	4940	0.00190654965516308
"248"	4960	0.00185616663019771
"249"	4980	0.00190112297861865
"250"	5000	0.00179653869740271
"251"	5020	0.0018658295947017
"252"	5040	0.00179870865447566
"253"	5060	0.00181227179422324
"254"	5080	0.00176985554969759
"255"	5100	0.00192856755328421
"256"	5120	0.00188722681620991
"257"	5140	0.00183727023296604
"258"	5160	0.00176988865407779
"259"	5180	0.00180766958163135
"260"	5200	0.00183643373887746
"261"	5220	0.00179589063252108
"262"	5240	0.00177473221472848
"263"	5260	0.00177579504825219
"264"	5280	0.00173860697627587
"265"	5300	0.00196156940502672
"266"	5320	0.00169798947594743
"267"	5340	0.00174612888576791
"268"	5360	0.00171818381116721
"269"	5380	0.00181280156080156
"270"	5400	0.00169144467846882
"271"	5420	0.00173973493318513
"272"	5440	0.00187830250748239
"273"	5460	0.00172198575211248
"274"	5480	0.00181778259043449
"275"	5500	0.00179098628253395
"276"	5520	0.00184844823986543
"277"	5540	0.00171805209997013
"278"	5560	0.00182263630602937
"279"	5580	0.0016259808711729
"280"	5600	0.00169877790249457
"281"	5620	0.00160688624570105
"282"	5640	0.00177355557314849
"283"	5660	0.00175193828000502
"284"	5680	0.00173686396177729
"285"	5700	0.00172645046026398
"286"	5720	0.00162085994253025
"287"	5740	0.00176092930788624
"288"	5760	0.00162395533795067
"289"	5780	0.00165408066130542
"290"	5800	0.00169512562635337
"291"	5820	0.00169208457459503
"292"	5840	0.00160911414272459
"293"	5860	0.00155977346385276
"294"	5880	0.00167133643730615
"295"	5900	0.00157050131629108
"296"	5920	0.00168461352108373
"297"	5940	0.00161545828045322
"298"	5960	0.00157041938111843
"299"	5980	0.00156631987039908
"300"	6000	0.00154314436997752
"301"	6020	0.00159388322386265
"302"	6040	0.0016637722385136
"303"	6060	0.00157522381765224
"304"	6080	0.00156466380503552
"305"	6100	0.00155627439195316
"306"	6120	0.001539680335508
"307"	6140	0.00148727719868596
"308"	6160	0.00151185449691562
"309"	6180	0.00157980895198747
"310"	6200	0.00164826797855274
"311"	6220	0.00156486454065006
"312"	6240	0.00152783289727141
"313"	6260	0.00158615107181503
"314"	6280	0.00160687858289582
"315"	6300	0.00151366108014838
"316"	6320	0.00155303258280958
"317"	6340	0.00148780341412972
"318"	6360	0.00153200698220663
"319"	6380	0.00149483488780259
"320"	6400	0.0014256095875457
"321"	6420	0.00145824234831046
"322"	6440	0.00154794222461238
"323"	6460	0.00148327571623589
"324"	6480	0.00149931795641815
"325"	6500	0.00142384678718353
"326"	6520	0.0015607235008086
"327"	6540	0.00154686768519834
"328"	6560	0.00142205346868943
"329"	6580	0.00142139121886756
"330"	6600	0.00147052574157354
"331"	6620	0.00145859872415566
"332"	6640	0.00137834321213096
"333"	6660	0.00147370920874135
"334"	6680	0.00139401827002537
"335"	6700	0.00151089441657929
"336"	6720	0.00143378031491355
"337"	6740	0.00144722121716302
"338"	6760	0.00149051486676472
"339"	6780	0.00142319527195103
"340"	6800	0.00137324287757504
"341"	6820	0.00146101588228625
"342"	6840	0.00142798674659515
"343"	6860	0.00134462662301214
"344"	6880	0.00141639964452822
"345"	6900	0.00141126962279696
"346"	6920	0.00137985211317383
"347"	6940	0.00145862213941546
"348"	6960	0.00143688440293458
"349"	6980	0.00119735825973162
"350"	7000	0.00130998110530177
"351"	7020	0.00132795025678166
"352"	7040	0.00137999883699563
"353"	7060	0.00129053359338597
"354"	7080	0.00134213028891182
"355"	7100	0.00138982882649881
"356"	7120	0.00131068811631914
"357"	7140	0.00135608614415654
"358"	7160	0.00124137343088645
"359"	7180	0.00134907924067629
"360"	7200	0.00130948814371761
"361"	7220	0.00132572041877031
"362"	7240	0.00123718994781584
"363"	7260	0.00138265485363919
"364"	7280	0.00133832793313627
"365"	7300	0.00131229212044063
"366"	7320	0.00123217433594498
"367"	7340	0.00128805838762606
"368"	7360	0.00131019732962387
"369"	7380	0.00121837592281327
"370"	7400	0.0013319508320808
"371"	7420	0.00125828715674123
"372"	7440	0.00121801458914592
"373"	7460	0.00123679943651707
"374"	7480	0.00132358340143224
"375"	7500	0.00130434651879084
"376"	7520	0.00128312205020471
"377"	7540	0.00135494081876851
"378"	7560	0.00133689709095801
"379"	7580	0.00125146620083619
"380"	7600	0.00132556484911578
"381"	7620	0.00133025215053859
"382"	7640	0.00123761402456578
"383"	7660	0.00127667764380969
"384"	7680	0.00127790619132078
"385"	7700	0.00122107280248995
"386"	7720	0.00127987159819263
"387"	7740	0.00121367129030162
"388"	7760	0.00131711999131572
"389"	7780	0.00123959673131432
"390"	7800	0.0011743374307595
"391"	7820	0.00114087171269357
"392"	7840	0.00121095512225401
"393"	7860	0.00124971190405245
"394"	7880	0.00127256376639885
"395"	7900	0.00121441002311082
"396"	7920	0.00121589821015856
"397"	7940	0.00120869157035543
"398"	7960	0.00118478223234829
"399"	7980	0.00123120767133872
"400"	8000	0.00123119426617352
"401"	8020	0.00122206277699673
"402"	8040	0.0011777936506988
"403"	8060	0.00121604484901614
"404"	8080	0.00116583919757231
"405"	8100	0.00114386842320109
"406"	8120	0.0012093845978661
"407"	8140	0.00112126700798248
"408"	8160	0.0011882626096553
"409"	8180	0.00123688984067738
"410"	8200	0.00119691963398634
"411"	8220	0.00115475044723777
"412"	8240	0.00115080199134591
"413"	8260	0.00111604293318543
"414"	8280	0.00114585281922225
"415"	8300	0.00123521132484104
"416"	8320	0.00110006433364714
"417"	8340	0.00124114740678582
"418"	8360	0.00113857088051249
"419"	8380	0.00117391131378757
"420"	8400	0.00110195382233497
"421"	8420	0.00115551695435985
"422"	8440	0.00106702155935364
"423"	8460	0.00112751432827245
"424"	8480	0.00107785458978051
"425"	8500	0.00109859840396705
"426"	8520	0.00103691359945361
"427"	8540	0.00110018394297909
"428"	8560	0.00111743662455627
"429"	8580	0.00117292401006537
"430"	8600	0.00112650549490737
"431"	8620	0.00109626998633811
"432"	8640	0.00110763049859948
"433"	8660	0.00110246023962944
"434"	8680	0.00105163940541415
"435"	8700	0.00107718757029427
"436"	8720	0.00106456353605173
"437"	8740	0.00107357973059857
"438"	8760	0.0010447067729474
"439"	8780	0.00106625981569341
"440"	8800	0.00102569993606314
"441"	8820	0.00109980055649091
"442"	8840	0.00106101552360023
"443"	8860	0.00104973623663473
"444"	8880	0.0011240145000107
"445"	8900	0.000979927478064048
"446"	8920	0.00104513667847548
"447"	8940	0.00105558068198982
"448"	8960	0.00107728212736167
"449"	8980	0.00110432494054806
"450"	9000	0.00109459555727428
"451"	9020	0.00107084222964405
"452"	9040	0.00105911609525744
"453"	9060	0.00106055430307149
"454"	9080	0.00106963151677452
"455"	9100	0.00101820268099472
"456"	9120	0.00110250992604398
"457"	9140	0.00101241800106785
"458"	9160	0.00103056478949055
"459"	9180	0.00100949641473594
"460"	9200	0.00101391470260049
"461"	9220	0.00100854915218268
"462"	9240	0.00106537902388102
